醫事機構代碼,醫事機構名稱,電話,地址,地圖地址,緯度,經度,備註
5901012203,博荃藥局,02-27316736,台北市松山區敦化北路4巷51號,台北市松山區中正里18鄰敦化北路4巷51號,25.050063,121.544742,"如遇國定連續假期,藥局公休"
5901012383,德川中西藥局,02-27683399,台北市松山區八德路4段96號,台北市松山區復盛里17鄰八德路四段96號,25.04836,121.56066,
5901012409,家音藥局,02-37652080,台北市松山區民生東路5段73號,台北市松山區東榮里7鄰民生東路五段73號,25.058709,121.558489,早上9:00到晚上11:00
5901012454,敦北藥局,02-27155691,台北市松山區民生東路4段80巷5號,台北市松山區東昌里10鄰民生東路四段80巷5號,25.057129,121.553125,
5901012490,中美藥局,02-27627468,台北市松山區富錦街531號,台北市松山區新益里17鄰富錦街531號,25.061285,121.565481,"營業時間如有異動,以藥局公告為準"
5901012507,康麗藥局,02-27174117,台北市松山區南京東路3段303巷20號,台北市松山區中正里22鄰南京東路三段303巷20號,25.05369,121.546826,春節營業時間請電洽
5901012516,惠登藥局,02-25472432,台北市松山區民生東路3段130巷34號,台北市松山區松基里8鄰民生東路三段130巷34號,25.056198,121.546113,
5901012561,松田藥局,02-25798005,台北市松山區延吉街9－6號,台北市松山區吉仁里2鄰延吉街9之6號,25.047007,121.55355,
5901012570,予志藥局,02-27623522,台北市松山區富錦街521號,台北市松山區富錦里16鄰富錦街521號,25.061186,121.564944,
5901012598,婕登藥局,02-27482893,台北市松山區八德路4段699號,台北市松山區慈祐里20鄰八德路四段699號,25.050207,121.576644,
5901012632,晨安藥局,02-25798460,台北市松山區八德路3段155巷20弄2號,台北市松山區復勢里7鄰八德路三段155巷20弄2號,25.049137,121.555326,
5901012650,銘德藥局,02-27511833,台北市松山區八德路2段366巷28號,台北市松山區中崙里10鄰八德路二段366巷28號,25.047242,121.545925,
5901012669,政昇藥局,02-27560286,台北市松山區南京東路5段356號13樓,台北市松山區新聚里3鄰南京東路五段356號,25.051063,121.569691,
5901012712,立康大藥局,02-27471749,台北市松山區八德路四段2－1號,台北市松山區復盛里1鄰八德路四段2之1號,25.048117,121.558111,
5901012749,躍獅松和藥局,02-27492569,台北市松山區八德路四段666－1號,台北市松山區慈祐里18鄰八德路四段666之1號,25.04979,121.576092,
5901012758,京東藥局,02-27679503,台北市松山區南京東路五段272號,台北市松山區新聚里10鄰南京東路五段272號,25.05114,121.566945,
5901012767,晨新藥局,02-27422951,台北市松山區八德路4段91巷1－1號,台北市松山區吉祥里23鄰八德路四段91巷1之1號,25.048944,121.560761,
5901012918,躍獅京華藥局,02-27666508,台北市松山區南京東路5段71號,台北市松山區東光里23鄰南京東路五段71號,25.051715,121.559562,
5901012963,綠之家藥局,02-25289595,台北市松山區延壽街428號,台北市松山區龍田里10鄰延壽街428號,25.056197,121.556217,
5901013004,德安藥局,02-25782670,台北市松山區八德路3段195號2樓,台北市松山區復勢里1鄰八德路三段195號,25.048163,121.55619,
5901013095,康采藥局,02-27670271,台北市松山區南京東路5段291巷17－2號,台北市松山區安平里20鄰南京東路五段291巷17之2號,25.052363,121.566253,
5901013120,誠康中西藥局,02-27619679,台北市松山區南京東路5段59巷31弄43號,台北市松山區東光里15鄰南京東路五段59巷31弄43號,25.053458,121.560723,
5901013139,慶昌藥局,02-25770820,台北市松山區延吉街29號,台北市松山區吉仁里3鄰延吉街29號,25.045949,121.553706,
5901013148,唯康藥局,02-25775000,台北市松山區八德路3段211號,台北市松山區復勢里13鄰八德路三段211號,25.048196,121.556637,
5901013157,西松健康人生藥局,02-27687807,台北市松山區南京東路5段291巷7號,台北市松山區安平里21鄰南京東路五段291巷7號,25.052005,121.566247,
5901013175,台北長庚維康藥局,02-27199386,台北市松山區敦化北路199巷2弄1號,台北市松山區中華里3鄰敦化北路199巷2弄1號,25.055737,121.550039,
5901013200,專品南京藥局,02-25147685,台北市松山區南京東路4段73號,台北市松山區東勢里15鄰南京東路四段73號,25.051846,121.553167,
5901013246,芝欣藥局,02-25706677,台北市松山區八德路3段148號,台北市松山區復源里11鄰八德路三段148號,25.047992,121.554815,
5901013264,佑翔藥局,02-87875050,台北市松山區民生東路5段95號,台北市松山區東榮里7鄰民生東路五段95號,25.058805,121.55969,
5901013308,立赫敦北藥局,02-27199277,台北市松山區敦化北路222巷20號,台北市松山區民有里14鄰敦化北路222巷20號,25.059447,121.547743,
5901013317,延壽盛康藥局,02-25182229,台北市松山區延壽街111號,台北市松山區富泰里1鄰延壽街111號,25.057113,121.565349,
5901013326,富景藥局,02-27455666,台北市松山區三民路145號,台北市松山區三民里27鄰三民路145號,25.060785,121.563097,
5901013344,健康活力藥師藥局,02-27455556,台北市松山區民生東路5段219號,台北市松山區新東里17鄰民生東路五段219號,25.05931,121.56693,
5901013362,啄木鳥藥局,02-27422413,台北市松山區八德路4段209號、211號（1、2層）,台北市松山區吉祥里1鄰八德路四段209號,25.048937,121.563957,
5901013371,玖田藥局,02-27666578,台北市松山區八德路4段655號,台北市松山區慈祐里17鄰八德路四段655號,25.050178,121.575529,
5901013380,澄馨藥局,02-27420159,台北市松山區三民路37號,台北市松山區自強里22鄰三民路37號,25.055801,121.563524,
5901013399,一安正昇藥局,02-27680993,台北市松山區南京東路5段348號,台北市松山區新聚里7鄰南京東路五段348號,25.051077,121.569309,
5901013406,美優康藥局,02-27152319,台北市松山區民生東路4段117之1號,台北市松山區精忠里6鄰民生東路四段117之1號,25.058242,121.553314,
5901013433,杏一延吉藥局,02-25798450,臺北市松山區延吉街32號,台北市松山區吉仁里8鄰延吉街32號,25.046075,121.553504,國定假日有提供藥事服務業務
5901013442,松山八德藥局,02-27782773,臺北市松山區八德路2段400號,台北市松山區中崙里7鄰八德路二段400號,25.048043,121.54657,國定假日有執行調劑業務
5901013451,新德大藥局,02-27673402,臺北市松山區饒河街204號,台北市松山區慈祐里20鄰饒河街204號,25.050743,121.577035,
5901013460,光點延新藥局,02-27667795,台北市松山區延壽街101號,台北市松山區富泰里1鄰延壽街101號,25.057162,121.56597,
5901013488,欣生藥局,02-27567611,臺北市松山區民生東路5段138巷1號,台北市松山區三民里11鄰民生東路五段138巷1號,25.058532,121.561699,
5901013497,民生盛康藥局,02-27460758,臺北市松山區民生東路5段204號,台北市松山區富泰里15鄰民生東路五段204號,25.058258,121.56477,
5901013504,杏一台北長庚藥局,02-25149463,臺北市松山區敦化北路199巷2弄3號,台北市松山區中華里3鄰敦化北路199巷2弄3號,25.055685,121.550038,
5901013513,立赫民生藥局,02-27139200,臺北市松山區民生東路4段68號,台北市松山區精忠里3鄰民生東路四段68號,25.057856,121.55223,
5901013522,大樹松山藥局,02-27562226,臺北市松山區民生東路5段107號,台北市松山區東榮里7鄰民生東路五段107號,25.058776,121.560139,
5901020296,百立藥局,02-27327211,台北市大安區和平東路3段228巷66號1樓,台北市大安區芳和里15鄰和平東路三段228巷66號,25.020995,121.553407,
5901020303,宏恩藥局,02-27000956,台北市大安區大安路1段181號,台北市大安區德安里13鄰大安路一段181號,25.036188,121.546113,
5901020376,靜園藥局,02-27336390,台北市大安區和平東路2段118巷57之1號,台北市大安區龍淵里4鄰和平東路二段118巷57之1號,25.022541,121.542921,
5901020385,延吉大藥局,02-27819227,台北市大安區延吉街153號1樓,台北市大安區正聲里13鄰延吉街153號,25.040657,121.554791,
5901020456,北陸藥局,02-27323594,台北市大安區和平東路3段278號1Ｆ,台北市大安區黎孝里15鄰和平東路三段278號,25.020998,121.555866,
5901020465,杏友藥局,02-27079451,台北市大安區復興南路2段151巷25號,台北市大安區龍雲里8鄰復興南路二段151巷25號,25.028469,121.544635,
5901020554,師大藥局,02-23623479,台北市大安區師大路99號1樓,台北市大安區古風里3鄰師大路99號,25.02271,121.528509,
5901020563,施寶藥局,02-27114175,台北市大安區安東街50－5號1樓,台北市大安區誠安里7鄰安東街50之5號,25.042768,121.54256,
5901020590,燕福藥局,02-23627307,台北市大安區羅斯福路3段283巷14弄14號之3,台北市大安區大學里24鄰羅斯福路三段283巷14弄14之3號,25.018166,121.532433,
5901020616,龍護大藥局,02-23250686,台北市大安區大安路1段224巷7號1Ｆ,台北市大安區仁慈里4鄰大安路一段224巷7號,25.034014,121.545445,
5901020634,新廣生藥局,02-27071221,台北市大安區仁愛路4段34號,台北市大安區德安里18鄰仁愛路四段34號,25.03762,121.546722,
5901020652,寶德藥局,02-27364240,台北市大安區樂利路105號1Ｆ,台北市大安區法治里5鄰樂利路105號,25.025124,121.552389,
